Albania,15cG4osc3Fabu1PFkp6NNsOW25Fyraplv
Algeria,1moOeoYx8yOB237wy0jXH8s1m-fdpK7BQ
Andorra,1N0ecw8kseFFI1I3CGZWMP61Bhp0VhE0O
Angola,10bdKOI4DOxQrKjDQ_P4jZvN52fyaX_t6
Antigua and Barbuda,1U6ahW5StbI3MXz3hExdSVyHeTHi1y7ug
Argentina,1lrA6muU5dIpWgtzgphkYG8W2XGHF7uYK
Armenia,1XOL6J0Ub7gdgu2qirsjFN9w7rcfI6bos
Australia,1DBNRi9FUrio25wszuLrEgb1UuMslNS65
Austria,1tjIYE908ItK08sBKobHTDHihXM6XYGHA
Azerbaijan,128e1yUwlwXWBQCLR_GIQBOSjiaRjeORr
Bahamas,1v7m4Vm1AbxSeu2ooGmlpA93IsHxZqGv9
Bahrain,1utB_spp3vGNaw-wYdj0YXfl6q5ZpO1rk
Bangladesh,16p0bdp2KcgJCWop7LFeLmZtVutEg6G_E
Barbados,1x9oKgqe9koxzoKiRdyjjH20bVm1DYoEZ
Belarus,13P6cv1X-NdWpeDT4KR8wJAR5Fw8MZaDF
Belgium,1Jjp9MZcM0_DRf3siTDJDYtAqU9QqsWAT
Belize,1_TX86ElJaQi80mvu4hBeABzSsyTjKcfP
Benin,1-KpZq1NWG5kAeAlz1C0CMWIOXEPcmMIG
Bhutan,1pVUtA5ROFy2FhKmFRghxMj-dajMZ5_sT
Bolivia,1JIWWhT8za7RZcJUVWrOuaJH6MFLXPJwk
Bosnia and Herzegovina,1vyJA0z-nV22vWfgcE45FxKmj2EpFe_nL
Botswana,1AULzqgdBKRyF0PSXgneZOtyuRVCJsFKJ
Brazil,1zd7Y7ecuYwtrkO_YIHGqT8AXX1oDcAMi
Brunei,1GlU7qLR4z5FO_I12BM9EoSQQDEQevNZH
Bulgaria,1GzzCDPhJsrT2GAcmM6mueqlE-gIGoupP
Burkina Faso,12iw4wdQ4vAxuH2_EiSdc1fkS8Sd8qWQE
Burundi,1ng_sg_9luuKH6nnkCV17VuGKh7j-1AUq
Cambodia,1g2iOVGRCpcwC8_jGC0XxR2b5g01fwK9c
Cameroon,1ykG6R1SrEp8BhUvekqdtVy1XwNK-FDfw
Canada,1GpH35xpAmA7s4fhAdNtFqrCAEp5EXFRO
Cape Verde,19qvnVUzOyLcxTz71jTIkQ5NQS7n8L6hG
Central African Republic,1NxRiHbP_qAlh8IwBrzedndForrEzDKth
Chad,1xtk3H7p7XSrsq1mrt1Zyd5GKKQ7Fv5yd
Chile,1gGUyclp44pcdFSBMDxj2-0Ym7GFDRvqh
China,1M8BXddnwLoxyYyTJLYMBxha_E7FMLPwV
Colombia,1nZMHWhaawUzAlijyHD2DuAYgGrm5lcpC
Comoros,1ddezS0OFWJ9r8bPDFLZ7KFszot1PnDI8
Costa Rica,1LaDsgJTypGZFFnH-lFIRa-8uESKazERs
Cote d'Ivoire,1qanHXF47J5gfnBcjfwu2NrqgCQ-Tx8mC
Croatia,14FpiuT8pqfrp6PjDgwiF8VJxS92moKSV
Cuba,1QD7itCCeWqzNAAVlppn2-hLmFaUq7jiG
Curacao (Netherlands) ,1FYQklKKYp1wplg6FnpusSAbYpeHnwbhf
Cyprus,1vLQDr0AlQL-4HhD8axfN4F2Ih5kCoyeE
Czechia,14AMuuv3-9PnQ5h6edElpAbGJMd_fCTp9
Democratic Republic of Congo,1zu8_R_jiK8-BpIMOu1UlgI7stAuO6ed6
Denmark,1yjuroZcjkhvNIqdPVGVtQ0E0xslZJam2
Djibouti,19BC3Xp1ZQSPIlr81wwD62F2Gwb_OQHNf
Dominica,1Mc6hathzv1qAL_jmtY_1OP2Q55ADzz5O
Dominican Republic,13SzY7fN9ukRTbYYU2pXpbKP7Kni48yfM
